,Vaksinasi 1(Tenaga Kesehatan),Vaksinasi 2(Tenaga Kesehatan),Persentase 1(Tenaga Kesehatan),Persentase 2(Tenaga Kesehatan),Vaksinasi 1(Lansia),Vaksinasi 2(Lansia),Persentase 1(Lansia),Persentase 2(Lansia),Vaksinasi 1(Pelayan Publik),Vaksinasi 2(Pelayan Publik),Persentase 1(Pelayan Publik),Persentase 2(Pelayan Publik),Vaksinasi 1(Total),Vaksinasi 2(Total),Persentase 1(Total),Persentase 2(Total),Positif Harian (Jakarta)
0,141425,91078,1.259338741,0.8110168209,76451,0,0.0838617818,0.0,64121,0,0.03243747208,0.0,281997,91078,0.09397741652,0.03035236241,1159
1,144046,91379,1.282677803,0.8136971176,79421,0,0.08711967891,0.0,66484,0,0.03363286433,0.0,289951,91379,0.09662814107,0.0304526727,1616
2,177126,91460,1.577243301,0.8144183934,83628,0,0.09173448468,0.0,73752,2514,0.03730959344,0.001271779991,334506,93974,0.1114763976,0.03131747409,1834
3,181237,92988,1.613850277,0.8280246837,95140,1,0.104362401,1.096935054e-06,85333,3989,0.04316817899,0.002017951625,361710,96978,0.1205423154,0.0323185775,1783
4,113326,89984,1.009127256,0.8012751445,135128,675,0.1482266399,0.0007404311613,174685,29195,0.08836948598,0.01476913956,423139,119854,0.1410139471,0.03994215995,867
5,116791,90681,1.039981835,0.8074816787,154251,1100,0.169203329,0.001206628559,202452,17773,0.1024162302,0.008990988776,473494,109554,0.1577950931,0.03650961496,1040
6,116823,90693,1.040266783,0.8075885344,154915,1103,0.1699316939,0.001209919364,211754,17903,0.1071219174,0.009056753056,483492,109699,0.1611269945,0.03655793719,1754
7,118086,91521,1.051513344,0.8149615765,167086,1291,0.1832824904,0.001416143154,234403,20226,0.1185795725,0.01023191014,519575,113038,0.1731518994,0.03767068163,1873
8,118283,91748,1.053267558,0.8169829298,174327,1444,0.1912253971,0.001583974218,245355,21272,0.1241199601,0.01076105965,537965,114464,0.1792804919,0.03814590582,1034
9,118301,91764,1.053427841,0.817125404,179024,1444,0.1963777011,0.001583974218,252763,21413,0.1278675123,0.0108323886,550088,114621,0.183320564,0.03819822714,1204
10,118983,92579,1.059500806,0.8243826858,197743,1620,0.2169112283,0.001777034787,282970,29871,0.1431486015,0.01511111381,599696,124070,0.1998527671,0.0413471706,1555
11,119531,93559,1.064380549,0.8331092332,216011,1754,0.2369500379,0.001924024084,312415,43891,0.1580442108,0.02220353842,647957,139204,0.2159360733,0.04639067894,835
12,120003,94619,1.068583539,0.8425481518,236230,1963,0.2591289678,0.002153283511,336132,63154,0.1700421448,0.03194828702,692365,159736,0.2307353411,0.05323310746,1330
13,120608,99980,1.073970846,0.890285928,257159,2040,0.2820867215,0.00223774751,356592,82412,0.1803924306,0.04169050622,734359,184432,0.244730127,0.06146321728,1719
14,121260,97465,1.079776672,0.8678907579,280221,2168,0.3073842377,0.002378155197,409121,99709,0.2069657525,0.05044069656,810602,199342,0.2701386248,0.0664320761,1588
15,121373,97612,1.080782896,0.86919974,287749,2585,0.3156419648,0.002835577114,415447,103069,0.2101659435,0.05214045024,824569,203266,0.2747932225,0.06773977576,1937
16,121483,97660,1.081762406,0.8696271627,296700,2696,0.3254606305,0.002957336905,428256,103939,0.2166457486,0.05258056504,846439,204295,0.2820815486,0.06808269701,1638
17,121834,98956,1.084887935,0.8811675764,314312,5263,0.3447798506,0.005773169188,443083,124036,0.2241464176,0.06274721678,879229,228255,0.2930090389,0.07606752982,1474
18,122199,100218,1.088138129,0.8924052324,337760,9693,0.3705007838,0.01063259148,465428,148494,0.2354502855,0.07512000716,925387,258405,0.3083915061,0.0861152222,815
19,122616,101248,1.091851364,0.9015770118,373557,15380,0.4097677679,0.01687086113,501557,177455,0.2537271905,0.08977077102,997730,294083,0.3325003024,0.09800515815,890
20,122916,101602,1.094522756,0.9047292544,394412,22109,0.4326443484,0.0242521371,529155,187424,0.2676884412,0.0948138795,1046483,311135,0.348747571,0.103687853,1726
21,123199,102584,1.097042769,0.9134736111,414506,29341,0.4546861614,0.03218517141,554981,211347,0.2807532742,0.1069160246,1092686,343272,0.3641450347,0.1143977267,1381
22,123199,102672,1.097042769,0.9142572194,425054,31070,0.4662566323,0.03408177212,573482,217379,0.2901125429,0.1099674872,1121735,351121,0.3738258113,0.1170134592,1354
23,123199,102692,1.097042769,0.9144353122,431190,31149,0.4729874258,0.03416842999,585999,219264,0.2964446313,0.1109210692,1140388,353105,0.3800420503,0.1176746407,1470
24,123199,103537,1.097042769,0.9219597332,444817,42494,0.4879353598,0.04661315817,610227,242034,0.3087010695,0.1224399357,1178243,388065,0.3926574863,0.1293252983,1014
25,123199,104246,1.097042769,0.9282731231,460787,54834,0.5054534126,0.06014933674,636631,266245,0.3220583005,0.134687774,1220617,425325,0.4067789098,0.1417424465,384
26,123199,104773,1.097042769,0.9329658685,475190,66739,0.5212525682,0.07320834855,668989,287470,0.3384275356,0.1454250573,1267378,458982,0.4223623308,0.1529588704,965
27,124396,107368,1.107701623,0.9560734099,477295,77431,0.5235616165,0.08493677815,699688,300935,0.3539575173,0.152236719,1301379,485734,0.4336933951,0.1618741562,1337
28,124396,107368,1.107701623,0.9560734099,485807,80541,0.5328987277,0.08834824617,715419,302306,0.361915501,0.1529302792,1325622,490215,0.4417725396,0.1633674799,1240
29,121845,105485,1.084985886,0.9393059723,487262,83140,0.5344947682,0.09119918037,730364,305602,0.3694758638,0.1545976567,1339471,494227,0.4463878129,0.1647045062,1098
30,121850,105514,1.085030409,0.9395642069,488136,83786,0.5354534894,0.09190780041,742355,308776,0.3755418597,0.1562033168,1352341,498076,0.4506768279,0.1659872116,736
31,122092,106037,1.087185332,0.9442213337,493235,109251,0.5410467612,0.1198412516,771861,330815,0.3904683277,0.1673523858,1387188,546103,0.4622898274,0.1819925357,523
